|negative| , |RT Old EVMs breaking down CEO website off line voter names vanishing BJP breaking every rule in booths State EC keeping| 
|negative| , |RT BJP Asansol IT Incharge PostCard News spreading fake video in order to create communal discord in Bengal| 
|negative| , |RT As always amp like now amp speeding fake news to create communal tension in Bengal https| 
|negative| , |RT BJP Asansol IT Incharge PostCard News spreading fake video in order to create communal discord in Bengal| 
|negative| , |RT pradeip Don t waste your breath on such turncoats they will be treated like garbage in BJP| 
|negative| , |The Bharatiya Janata Party BJP has mastered the art of media management like few other For over four days now| 
|negative| , |3yrs of BJP rule amp its social engineering has brought India to this Will only get worse has a role i| 
|negative| , |RT Deodhar Had a late night meeting with IT amp Youth team of Tripura s Dhalai dist at Ambassa BJP office| 
|negative| , |Before Media Begging and Drinking Urine Behind Media Bisleri water and Biryani some Questions why BJP is s| 
|negative| , |RT Overheard few Aaptards talking One of them was saying Posting amp canvassing for AAP is his Profession Voting for BJP is h| 
|negative| , |RT News Delhi BJP moves SEC alleging that Dy CM appealed to the people for votes during a TV interview today while polling| 
|negative| , |RT This attempt to spread communal discord with fake videos in states like Bengal must stop| 
|negative| , |RT Media reporting Kejriwal didn t attend interaction with Modi Idiot media Ur master Modi himslf tweeted CMs of s| 
|negative| , |You are so predictable You justify every wrong in favour of Aap amp criticise BJP as a habbit BiasedJourno| 
|negative| , |RT Revealing the secret BJP MCD war room| 
|negative| , |BJP sud lose few elections these guys have gone into Manmohan Sonia mode when ti comes to Jihadis and Maoists same old I condemn drama| 
|negative| , |RT Sir Whom are u asking this question Seems u forgot theres Bjp govt both at centre amp state failed terribly on| 
|negative| , |RT pac I ve been saying this Bjp has 3 options 1 dismiss aap 2 buy MLAs 3 with LG block files make work impossible also tie up i| 
|negative| , |RT In Kashmir we have foreign actors at play with local cohorts But Sukma after 3 terms of Raman Singh and BJP Govt at ce| 
|negative| , |RT Sikh farmer brutally beaten his beard pulled by local BJP leader and his goons at Balrampur UP| 
|negative| , |RT handl ghatiya insaan State aur Center dono me BJP ki sarkaar ne kya kiya Responsibility accountability ka matl| 
|negative| , |RT BJP kemcho mazey mein Mojo Now can u say that its fake news PS Don t MESS with us| 
|negative| , |RT Thread on BJP s propaganda This masjid was built by King Sethupathi in Dravidian style But for Hindutvadis http| 
|negative| , |RT Four clowns in BJP who can together destroy India within a decade| 
|negative| , |RT CCTVs were broken the name plate was vandalised They ransacked my office The BJP MP was part of that crowd https| 
|negative| , |RT Dear Indians called the above tweet of BJP a fake news The pic below nails her li| 
|negative| , |RT Kamaal ki baat hai AAP ne itna kaam kia fir bhi log ANGRY hain BJP ne 10 saal kuch nahi kia aur logo ne vote bar| 
|negative| , |RT Salute to CRPF bravehearts Praying for strength to families to bear tragic loss BJP Govts at Centre State must compensat| 
|negative| , |RT Sorry never had patience to blog but its obvious Left s stupid arrogance on nuclear deal during UPA1 enabled both Mamata amp B| 
|negative| , |RT BJP leadrs blame opposition for attack on Jawans in J amp K amp Chattisgarh Idiots Both the states are ruled by BJP who shd| 
|negative| , |RT So Left felt INC was a greater ideological enemy than Sangh in trying to bring UPA1 down with BJP support Thats even worse tha| 
|negative| , |BJP is committed to bring back the glory of Bengal the land of Tagore Swami Vivekanand Subhash babu S P Mookerjee and other stalwarts| 
|negative| , |This is natural thing and BJP govt have not helped rubber manufacturers to get right rate of rubber Poor show| 
|negative| , |RT Of BJP ruled states you can say one thing Where there is conflict they make it worse Where there isn t conflict they| 
|negative| , |RT 4 So murder charges mean nothing You can get bail after murdering someone over suspicion of eating beef which too was false| 
|negative| , |Vistaar Yatra Trinamool even worse than Left says BJP chief Amit Shah Zee News| 
|negative| , |Vistaar Yatra Trinamool even worse than Left says BJP chief Amit Shah Zee News IndiaNews| 
|negative| , |RT Liberal amp Secular checklist Victim Dalit Muslim Christian BJP ruled state No editorials No op eds No TV debates| 
|negative| , |RT Zone Patidar leader and illegal mining activist Pankaj Patel allegedly murdered yesterday This is what happens when u rai| 
|negative| , |Zee News Vistaar Yatra Trinamool even worse than Left says BJP chief Amit ShahZee NewsKicking off his 15 day| 
|negative| , |Serious plot to destabilise SicKular India by communal BJP amp evil Modi Boss| 
|negative| , |RT RT if u believe that is BJP propaganda channel amp u are waiting to block it the day it wl come On air| 
|negative| , |RT The sad story of Sanghis and the BJP Can t fight Pakistan so attack helpless Indian Muslims Can t fight Naxals so at| 
|negative| , |RT Look at the reactions to this statement People are slowly realising the doublespeak of BJP| 
|negative| , |Vistaar Yatra Trinamool even worse than Left says BJP chief Amit Shah Zee News| 
|negative| , |Vistaar Yatra Trinamool even worse than Left says BJP chief Amit Shah Zee News Zee News Vistaar Yatra| 
|negative| , |Vistaar Yatra Trinamool even worse than Left says BJP chief Amit Shah Zee News| 
|negative| , |RT HariOm Who will the Hindus of Jammu now vote for Cong BJP PDP and NC all anti Hindu and anti Jammu I hate and despise hate H| 
|negative| , |Way to Gooo Fake Rastravadi Party BJP republictv BJPKaJungleRaaj Fraud| 
|negative| , |we can stop cleaning Ganga for a while and worry about spreading BJP in other states Can we kill these home grown terrorists 1st| 
|negative| , |In TV discussion Congress which gave Corruption Poverty and UGLY caste system is tryin| 
